Team,PA,AB,Hits,2B,3B,HR,BB,SO,BA,OBP,SLG,xSLG
Los Angeles Angels,"6,016","5,437","1,331",265,23,190,464,"1,394",.245,.310,.407,.308
Colorado Rockies,"6,007","5,374","1,338",275,34,182,491,"1,356",.249,.317,.414,.315
Miami Marlins,"5,929","5,348","1,244",226,23,158,450,"1,553",.233,.298,.372,.291
Oakland Athletics,"6,104","5,395","1,284",271,19,199,545,"1,349",.238,.317,.406,.313
Los Angeles Dodgers,"6,239","5,445","1,330",247,24,237,613,"1,408",.244,.330,.429,.327
New York Mets,"5,856","5,210","1,243",228,18,176,495,"1,392",.239,.315,.391,.307
New York Yankees,"6,060","5,331","1,266",213,12,222,621,"1,482",.237,.322,.407,.317
Washington Nationals,"6,113","5,385","1,388",272,20,182,573,"1,303",.258,.337,.417,.326
Boston Red Sox,"6,122","5,495","1,434",330,23,219,512,"1,386",.261,.328,.449,.333
Seattle Mariners,"6,010","5,355","1,209",233,11,199,535,"1,492",.226,.303,.385,.300
Detroit Tigers,"5,979","5,376","1,299",236,37,179,490,"1,514",.242,.308,.399,.306
Baltimore Orioles,"5,983","5,420","1,296",266,15,195,451,"1,454",.239,.304,.402,.305
Chicago White Sox,"6,084","5,357","1,373",275,22,190,586,"1,389",.256,.336,.422,.329
Chicago Cubs,"5,972","5,306","1,255",225,26,210,502,"1,596",.237,.312,.407,.311
Toronto Blue Jays,"6,070","5,476","1,455",285,13,262,496,"1,218",.266,.330,.466,.340
San Francisco Giants,"6,196","5,462","1,360",271,25,241,602,"1,461",.249,.329,.440,.329
Minnesota Twins,"6,078","5,431","1,311",271,17,228,525,"1,405",.241,.314,.423,.318
Arizona Diamondbacks,"6,144","5,489","1,297",308,31,144,537,"1,465",.236,.309,.382,.301
San Diego Padres,"6,119","5,384","1,305",273,21,180,586,"1,324",.242,.321,.401,.312
Houston Astros,"6,291","5,593","1,496",299,14,221,569,"1,222",.267,.339,.444,.336
Milwaukee Brewers,"6,099","5,362","1,251",255,18,194,586,"1,465",.233,.317,.396,.310
Atlanta Braves,"6,056","5,363","1,307",269,20,239,549,"1,453",.244,.319,.435,.323
Kansas City Royals,"5,993","5,427","1,349",251,29,163,421,"1,258",.249,.306,.396,.304
Cleveland Guardians,"5,907","5,332","1,269",248,22,203,453,"1,387",.238,.303,.407,.306
Tampa Bay Rays,"6,213","5,507","1,336",288,36,222,585,"1,542",.243,.321,.429,.322
Philadelphia Phillies,"6,089","5,366","1,288",262,24,198,564,"1,402",.240,.318,.408,.313
Texas Rangers,"5,943","5,405","1,254",225,24,167,433,"1,381",.232,.294,.375,.291
Pittsburgh Pirates,"5,983","5,336","1,261",240,35,124,529,"1,328",.236,.309,.364,.294
Cincinnati Reds,"6,162","5,423","1,352",295,13,222,553,"1,425",.249,.328,.431,.327
St. Louis Cardinals,"6,001","5,351","1,303",261,22,198,478,"1,341",.244,.313,.412,.312
