Team,Win-Loss Ratio,Wins,Losses
Boston Red Sox,1.3467010569657594,93,69
Milwaukee Brewers,1.313006268578372,92,70
Los Angeles Dodgers,1.3148695238806989,92,70
Baltimore Orioles,1.2477538163115565,90,72
Detroit Tigers,1.2195619256230217,89,73
Chicago Cubs,1.1846145652577762,88,74
Philadelphia Phillies,1.1662853272365454,87,75
New York Yankees,1.1035470590071896,85,77
Kansas City Royals,1.0729337457273886,84,78
Atlanta Braves,1.064942118964928,84,78
New York Mets,1.0892941842001114,84,78
Cincinnati Reds,1.0598465540995394,83,79
Seattle Mariners,1.0448696865511298,83,79
San Diego Padres,1.0444194501617428,83,79
Houston Astros,1.0459167366505895,83,79
Toronto Blue Jays,1.0325884326569594,82,80
Minnesota Twins,1.017202255827081,82,80
Arizona Diamondbacks,1.0287812625400468,82,80
San Francisco Giants,1.010562609608144,81,81
Tampa Bay Rays,0.9847641222525779,80,82
Oakland Athletics,0.9436665291462056,79,83
St. Louis Cardinals,0.9163628074344524,77,85
Cleveland Guardians,0.8121275762285544,73,89
Texas Rangers,0.8298301612172134,73,89
Washington Nationals,0.7748770568145154,71,91
Pittsburgh Pirates,0.7631887620675584,70,92
Los Angeles Angels,0.7413682250709837,69,93
Colorado Rockies,0.7417139719773225,69,93
Miami Marlins,0.6597801771541003,64,98
Chicago White Sox,0.4246240307879336,48,114
